Table Range A2:U2594 ,,,,,,,,,,,,,,,,,,,,
CNTY_NAME,JURS_NAME,PLANNING PERIOD,YEAR,APR_STATUS,RHNA VLI,TOTAL VLI PERMITS,VLI DEED RESTRICTED UNITS,VLI NOT DEED RESTRICTED UNITS,RHNA LI,TOTAL LI PERMITS,LI DEED RESTRICTED UNITS,LI NOT DEED RESTRICTED UNITS,MOD RHNA,MOD UNITS,ABOVE MOD RHNA,ABOVE MOD UNITS,RHNA TOTAL,TOTAL UNITS YEAR SUBMITTED,APR YEAR (In planning period),1ST APR
SAN DIEGO,IMPERIAL BEACH,04/30/2013 - 04/30/2021,2015,Final,63,0,0,0,48,0,0,0,45,0,98,20,254,20,2015,2013
RIVERSIDE,INDIAN WELLS,10/15/2013 - 10/15/2021,2015,Final,40,0,0,0,27,0,0,0,31,0,62,43,160,43,2015,2014
RIVERSIDE,INDIO,10/15/2013 - 10/15/2021,2015,Final,714,0,0,0,487,0,0,0,553,0,1271,319,3025,319,2015,2014
LOS ANGELES,INGLEWOOD,10/15/2013 - 10/15/2021,2015,Final,250,0,0,0,150,0,0,0,167,0,446,5,1013,5,2015,2014
INYO,INYO COUNTY,06/30/2014 - 06/30/2019,2015,Final,35,0,0,0,25,0,0,0,28,0,72,2,160,2,2015,2014
ORANGE,IRVINE,10/15/2013 - 10/15/2021,2015,Final,2817,22,22,0,2034,1,1,0,2239,4531,5059,1645,12149,6199,2015,2014
AMADOR,JACKSON,06/30/2014 - 06/30/2019,2015,Final,4,0,0,0,3,0,0,0,4,11,8,0,19,11,2015,2014
KERN,KERN COUNTY,12/31/2015 - 12/31/2023,2015,Final,4888,0,0,0,3107,0,0,0,3126,0,10462,0,21583,0,2016,2016
MONTEREY,KING CITY,12/31/2015 - 12/31/2023,2015,Final,43,0,0,0,28,0,0,0,33,0,76,25,180,25,2016,2016
LOS ANGELES,LA CANADA FLINTRIDGE,10/15/2013 - 10/15/2021,2015,Final,30,0,0,0,18,0,0,0,20,0,44,18,112,18,2015,2014
ORANGE,LA HABRA,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,3,3,0,1,4,1,22,4,29,2015,2014
SAN DIEGO,LA MESA,04/30/2013 - 04/30/2021,2015,Final,430,0,0,0,326,1,0,1,302,0,664,28,1722,29,2015,2013
ORANGE,LA PALMA,10/15/2013 - 10/15/2021,2015,Final,2,0,0,0,2,0,0,0,2,0,3,0,9,0,2015,2014
LOS ANGELES,LA VERNE,10/15/2013 - 10/15/2021,2015,Final,147,0,0,0,88,1,0,1,94,0,233,4,562,5,2015,2014
CONTRA COSTA,LAFAYETTE,01/31/2015 - 01/31/2023,2015,Final,138,0,0,0,78,0,0,0,85,3,99,13,400,16,2015,2015
ORANGE,LAGUNA BEACH,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,15,2,15,2015,2014
ORANGE,LAGUNA HILLS,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2015,2014
ORANGE,LAGUNA NIGUEL,10/15/2013 - 10/15/2021,2015,Final,43,0,0,0,30,0,0,0,34,2,75,4,182,6,2015,2014
ORANGE,LAGUNA WOODS,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2015,2014
RIVERSIDE,LAKE ELSINORE,10/15/2013 - 10/15/2021,2015,Final,1196,0,0,0,801,0,0,0,897,341,2035,2,4929,343,2015,2014
ORANGE,LAKE FOREST,10/15/2013 - 10/15/2021,2015,Final,647,0,0,0,450,0,0,0,497,48,1133,461,2727,509,2015,2014
LOS ANGELES,LAKEWOOD,10/15/2013 - 10/15/2021,2015,Final,107,0,0,0,63,0,0,0,67,0,166,52,403,52,2015,2014
MARIN,LARKSPUR,01/31/2015 - 01/31/2023,2015,Final,40,0,0,0,20,0,0,0,21,0,51,7,132,7,2015,2015
SAN JOAQUIN,LATHROP,12/31/2015 - 12/31/2023,2015,Final,1019,0,0,0,759,0,0,0,957,0,2421,343,5156,343,2016,2016
SAN DIEGO,LEMON GROVE,04/30/2013 - 04/30/2021,2015,Final,77,0,0,0,59,5,5,0,54,0,119,72,309,77,2015,2013
PLACER,LINCOLN,10/31/2013 - 10/31/2021,2015,Final,953,0,0,0,668,0,0,0,705,0,1464,234,3790,234,2015,2014
TULARE,LINDSAY,12/31/2015 - 12/31/2023,2015,Final,80,4,4,0,80,28,27,1,82,7,348,9,590,48,2016,2016
SUTTER,LIVE OAK,10/31/2013 - 10/31/2021,2015,Final,104,46,46,0,72,37,37,0,83,2,190,2,449,87,2015,2014
ALAMEDA,LIVERMORE,01/31/2015 - 01/31/2023,2015,Final,839,0,0,0,474,2,2,0,496,14,920,420,2729,436,2015,2015
LOS ANGELES,LOMITA,10/15/2013 - 10/15/2021,2015,Final,12,0,0,0,7,2,0,2,8,0,20,0,47,2,2015,2014
SANTA BARBARA,LOMPOC,02/15/2015 - 02/15/2023,2015,Final,126,0,0,0,84,0,0,0,95,44,221,0,526,44,2015,2015
LOS ANGELES,LONG BEACH,10/15/2013 - 10/15/2021,2015,Final,1773,111,111,0,1066,8,8,0,1170,0,3039,31,7048,150,2015,2014
SANTA CLARA,LOS ALTOS,01/31/2015 - 01/31/2023,2015,Final,169,1,1,0,99,17,17,0,112,1,97,267,477,286,2015,2015
LOS ANGELES,LOS ANGELES,10/15/2013 - 10/15/2021,2015,Final,20427,893,893,0,12435,536,536,0,13728,45,35412,15833,82002,17307,2015,2014
LOS ANGELES,LOS ANGELES COUNTY,10/15/2013 - 10/15/2021,2015,Final,7359,32,32,0,4251,0,0,0,4898,0,10749,1790,27257,1822,2015,2014
SANTA CLARA,LOS GATOS,01/31/2015 - 01/31/2023,2015,Final,201,0,0,0,112,0,0,0,132,2,174,13,619,15,2015,2015
MADERA,MADERA,06/30/2014 - 06/30/2019,2015,Final,1352,2,2,0,1056,140,140,0,1091,17,2600,1,6099,160,2016,2016
MADERA,MADERA COUNTY,06/30/2014 - 06/30/2019,2015,Final,1285,0,0,0,984,0,0,0,1015,0,2398,0,5682,0,2016,2016
LOS ANGELES,MALIBU,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,16,2,16,2015,2014
MONO,MAMMOTH LAKES,06/30/2014 - 06/30/2019,2015,Final,17,0,0,0,12,0,0,0,14,0,31,22,74,22,2015,2014
LOS ANGELES,MANHATTAN BEACH,10/15/2013 - 10/15/2021,2015,Final,10,0,0,0,6,0,0,0,7,0,15,86,38,86,2015,2014
MARIN,MARIN COUNTY,01/31/2015 - 01/31/2023,2015,Final,55,7,6,1,32,6,3,3,37,3,61,23,185,39,2015,2015
MONTEREY,MARINA,12/31/2015 - 12/31/2023,2015,Final,315,0,0,0,206,0,0,0,239,0,548,61,1308,61,2016,2016
MARIPOSA,MARIPOSA COUNTY,06/30/2014 - 06/30/2019,2015,Final,265,0,0,0,130,0,0,0,180,44,420,10,995,54,2015,2014
MENDOCINO,MENDOCINO COUNTY,06/30/2014 - 06/30/2019,2015,Final,40,0,0,0,27,0,0,0,27,56,74,52,168,108,2015,2014
RIVERSIDE,MENIFEE,10/15/2013 - 10/15/2021,2015,Final,1488,4,0,4,1007,0,0,0,1140,193,2610,215,6245,412,2015,2014
SAN MATEO,MENLO PARK,01/31/2015 - 01/31/2023,2015,Final,233,85,84,1,129,22,20,2,143,0,150,712,655,819,2015,2015
MARIN,MILL VALLEY,01/31/2015 - 01/31/2023,2015,Final,41,6,0,6,24,8,0,8,26,3,38,9,129,26,2015,2015
SANTA CLARA,MILPITAS,01/31/2015 - 01/31/2023,2015,Final,1004,0,0,0,570,0,0,0,565,0,1151,270,3290,270,2015,2015
ORANGE,MISSION VIEJO,10/15/2013 - 10/15/2021,2015,Final,42,3,3,0,29,22,22,0,33,0,73,468,177,493,2015,2014
STANISLAUS,MODESTO,12/31/2015 - 12/31/2023,2015,Final,1546,0,0,0,991,0,0,0,1100,0,2724,18,6361,18,2016,2016
MODOC,MODOC COUNTY,06/30/2014 - 06/30/2019,2015,Final,2,2,0,2,2,1,0,1,1,9,5,0,10,12,2015,2014
MONO,MONO COUNTY,06/30/2014 - 06/30/2019,2015,Final,11,0,0,0,7,2,0,2,9,10,19,14,46,26,2015,2014
LOS ANGELES,MONROVIA,10/15/2013 - 10/15/2021,2015,Final,101,0,0,0,61,0,0,0,65,0,162,9,389,9,2015,2014
SAN BERNARDINO,MONTCLAIR,10/15/2013 - 10/15/2021,2015,Final,164,0,0,0,114,0,0,0,125,0,294,20,697,20,2015,2014
SANTA CLARA,MONTE SERENO,01/31/2015 - 01/31/2023,2015,Final,23,4,0,4,13,0,0,0,13,1,12,2,61,7,2015,2015
MONTEREY,MONTEREY,12/31/2015 - 12/31/2023,2015,Final,157,0,0,0,102,0,0,0,119,2,272,55,650,57,2016,2016
MONTEREY,MONTEREY COUNTY,12/31/2015 - 12/31/2023,2015,Final,374,137,37,100,244,6,6,0,282,0,651,189,1551,332,2016,2016
VENTURA,MOORPARK,10/15/2013 - 10/15/2021,2015,Final,289,5,5,0,197,15,15,0,216,9,462,144,1164,173,2015,2014
CONTRA COSTA,MORAGA,01/31/2015 - 01/31/2023,2015,Final,75,0,0,0,44,0,0,0,50,0,60,8,229,8,2015,2015
RIVERSIDE,MORENO VALLEY,10/15/2013 - 10/15/2021,2015,Final,1500,0,0,0,993,0,0,0,1112,0,2564,103,6169,103,2015,2014
SANTA CLARA,MORGAN HILL,01/31/2015 - 01/31/2023,2015,Final,273,12,12,0,154,118,118,0,185,107,316,647,928,884,2015,2015
SANTA CLARA,MOUNTAIN VIEW,01/31/2015 - 01/31/2023,2015,Final,814,0,0,0,492,9,9,0,527,0,1093,278,2926,287,2015,2015
RIVERSIDE,MURRIETA,10/15/2013 - 10/15/2021,2015,Final,395,0,0,0,262,0,0,0,289,0,627,93,1573,93,2015,2014
NAPA,NAPA,01/31/2015 - 01/31/2023,2015,Final,185,0,0,0,106,0,0,0,141,0,403,0,835,0,2015,2015
NAPA,NAPA COUNTY,01/31/2015 - 01/31/2023,2015,Final,51,0,0,0,30,0,0,0,32,8,67,11,180,19,2015,2015
SAN DIEGO,NATIONAL CITY,04/30/2013 - 04/30/2021,2015,Final,465,0,0,0,353,0,0,0,327,0,718,143,1863,143,2015,2013
SAN BERNARDINO,NEEDLES,10/15/2013 - 10/15/2021,2015,Final,38,0,0,0,29,0,0,0,34,0,80,6,181,6,2015,2014
NEVADA,NEVADA CITY,06/30/2014 - 06/30/2019,2015,Final,19,0,0,0,14,1,0,1,16,1,36,0,85,2,2015,2014
NEVADA,NEVADA COUNTY,06/30/2014 - 06/30/2019,2015,Final,174,27,0,27,126,20,20,0,150,29,314,70,764,146,2015,2014
ALAMEDA,NEWARK,01/31/2015 - 01/31/2023,2015,Final,330,0,0,0,167,0,0,0,158,36,423,40,1078,76,2015,2015
ORANGE,NEWPORT BEACH,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,1,0,2,197,5,197,2015,2014
LOS ANGELES,NORWALK,10/15/2013 - 10/15/2021,2015,Final,52,0,0,0,31,0,0,0,33,0,85,4,201,4,2015,2014
MARIN,NOVATO,01/31/2015 - 01/31/2023,2015,Final,111,16,16,0,65,0,0,0,72,1,167,15,415,32,2015,2015
ALAMEDA,OAKLAND,01/31/2015 - 01/31/2023,2015,Final,2059,98,98,0,2075,30,30,0,2815,0,7816,643,14765,771,2015,2015
CONTRA COSTA,OAKLEY,01/31/2015 - 01/31/2023,2015,Final,317,0,0,0,174,0,0,0,175,70,502,164,1168,234,2015,2015
SAN DIEGO,OCEANSIDE,04/30/2013 - 04/30/2021,2015,Final,1549,0,0,0,1178,0,0,0,1090,27,2393,73,6210,100,2015,2013
VENTURA,OJAI,10/15/2013 - 10/15/2021,2015,Final,87,0,0,0,59,0,0,0,70,3,155,1,371,4,2015,2014
SAN BERNARDINO,ONTARIO,10/15/2013 - 10/15/2021,2015,Final,2592,0,0,0,1745,0,0,0,1977,138,4547,420,10861,558,2015,2014
ORANGE,ORANGE,10/15/2013 - 10/15/2021,2015,Final,83,0,0,0,59,0,0,0,66,264,155,3,363,267,2015,2014
ORANGE,ORANGE COUNTY,10/15/2013 - 10/15/2021,2015,Final,1240,0,0,0,879,0,0,0,979,0,2174,513,5272,513,2015,2014
CONTRA COSTA,ORINDA,01/31/2015 - 01/31/2023,2015,Final,84,0,0,0,47,0,0,0,54,0,42,44,227,44,2015,2015
GLENN,ORLAND,06/30/2014 - 06/30/2019,2015,Final,20,0,0,0,10,0,0,0,14,10,36,0,80,10,2015,2014
BUTTE,OROVILLE,06/15/2014 - 06/15/2022,2015,Final,419,2,0,2,284,4,0,4,306,0,784,11,1793,17,2015,2014
VENTURA,OXNARD,10/15/2013 - 10/15/2021,2015,Final,1688,0,0,0,1160,0,0,0,1351,0,3102,5,7301,5,2015,2014
MONTEREY,PACIFIC GROVE,12/31/2015 - 12/31/2023,2015,Final,28,0,0,0,18,0,0,0,21,0,48,0,115,0,2016,2016
SAN MATEO,PACIFICA,01/31/2015 - 01/31/2023,2015,Final,121,0,0,0,68,0,0,0,70,1,154,7,413,8,2015,2015
RIVERSIDE,PALM DESERT,10/15/2013 - 10/15/2021,2015,Final,98,38,38,0,67,36,36,0,76,0,172,0,413,74,2015,2014
RIVERSIDE,PALM SPRINGS,10/15/2013 - 10/15/2021,2015,Final,63,0,0,0,43,0,0,0,50,0,116,188,272,188,2015,2014
LOS ANGELES,PALMDALE,10/15/2013 - 10/15/2021,2015,Final,1397,0,0,0,828,0,0,0,899,0,2334,95,5458,95,2015,2014
SANTA CLARA,PALO ALTO,01/31/2015 - 01/31/2023,2015,Final,691,43,43,0,432,58,58,0,278,11,587,174,1988,286,2015,2015
LOS ANGELES,PARAMOUNT,10/15/2013 - 10/15/2021,2015,Final,26,0,0,0,16,0,0,0,17,0,46,4,105,4,2015,2014
FRESNO,PARLIER,12/31/2015 - 12/31/2023,2015,Final,110,53,43,10,82,2,0,2,77,0,319,0,588,55,2016,2016
LOS ANGELES,PASADENA,10/15/2013 - 10/15/2021,2015,Final,340,104,104,0,207,0,0,0,224,10,561,508,1332,622,2015,2014
SAN LUIS OBISPO,PASO ROBLES,06/30/2014 - 06/30/2019,2015,Final,123,49,49,0,77,20,20,0,87,23,206,61,493,153,2015,2014
RIVERSIDE,PERRIS,10/15/2013 - 10/15/2021,2015,Final,1026,0,0,0,681,0,0,0,759,0,1814,222,4280,222,2015,2014
SONOMA,PETALUMA,01/31/2015 - 01/31/2023,2015,Final,199,0,0,0,103,0,0,0,121,7,322,235,745,242,2015,2015
CONTRA COSTA,PINOLE,01/31/2015 - 01/31/2023,2015,Final,80,0,0,0,48,0,0,0,43,0,126,0,297,0,2015,2015
SAN LUIS OBISPO,PISMO BEACH,06/30/2014 - 06/30/2019,2015,Final,38,0,0,0,24,0,0,0,27,0,64,55,153,55,2015,2014
CONTRA COSTA,PITTSBURG,01/31/2015 - 01/31/2023,2015,Final,392,0,0,0,254,2,2,0,316,150,1063,252,2025,404,2015,2015
ORANGE,PLACENTIA,10/15/2013 - 10/15/2021,2015,Final,112,0,0,0,81,0,0,0,90,10,209,45,492,55,2015,2014
PLACER,PLACER COUNTY,10/31/2013 - 10/31/2021,2015,Final,1365,0,0,0,957,16,1,15,936,0,1773,282,5031,298,2015,2014
EL DORADO,PLACERVILLE,10/31/2013 - 10/31/2021,2015,Final,78,0,0,0,55,0,0,0,69,4,170,20,372,24,2015,2014
CONTRA COSTA,PLEASANT HILL,01/31/2015 - 01/31/2023,2015,Final,118,0,0,0,69,0,0,0,84,2,177,6,448,8,2015,2015
ALAMEDA,PLEASANTON,01/31/2015 - 01/31/2023,2015,Final,716,54,54,0,391,16,16,0,407,2,553,819,2067,891,2015,2015
MENDOCINO,POINT ARENA,06/30/2014 - 06/30/2019,2015,Final,1,0,0,0,1,0,0,0,1,1,1,0,4,1,2015,2014
TULARE,PORTERVILLE,12/31/2015 - 12/31/2023,2015,Final,623,0,0,0,576,3,3,0,566,97,1431,8,3196,108,2016,2016
SAN MATEO,PORTOLA VALLEY,01/31/2015 - 01/31/2023,2015,Final,21,0,0,0,15,0,0,0,15,0,13,8,64,8,2015,2015
SAN DIEGO,POWAY,04/30/2013 - 04/30/2021,2015,Final,201,0,0,0,152,0,0,0,282,0,618,11,1253,11,2015,2013
SACRAMENTO,RANCHO CORDOVA,10/31/2013 - 10/31/2021,2015,Final,1539,50,50,0,1079,0,0,0,1303,0,3087,402,7008,452,2015,2014
SAN BERNARDINO,RANCHO CUCAMONGA,10/15/2013 - 10/15/2021,2015,Final,209,0,0,0,141,0,0,0,158,0,340,425,848,425,2015,2014
LOS ANGELES,RANCHO PALOS VERDES,10/15/2013 - 10/15/2021,2015,Final,8,0,0,0,5,0,0,0,5,0,13,4,31,4,2015,2014
ORANGE,RANCHO ST. MARGARITA,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2015,2014
TEHAMA,RED BLUFF,06/30/2014 - 06/30/2019,2015,Final,73,0,0,0,52,0,0,0,61,1,137,0,323,1,2015,2014
SHASTA,REDDING,06/30/2014 - 06/30/2019,2015,Final,287,35,35,0,181,48,48,0,205,63,502,174,1175,320,2015,2014
SAN BERNARDINO,REDLANDS,10/15/2013 - 10/15/2021,2015,Final,579,0,0,0,396,0,0,0,453,2,1001,68,2429,70,2015,2014
LOS ANGELES,REDONDO BEACH,10/15/2013 - 10/15/2021,2015,Final,372,0,0,0,223,0,0,0,238,0,564,68,1397,68,2015,2014
SAN MATEO,REDWOOD CITY,01/31/2015 - 01/31/2023,2015,Final,706,0,0,0,429,2,0,2,502,0,1152,1126,2789,1128,2015,2015
FRESNO,REEDLEY,12/31/2015 - 12/31/2023,2015,Final,393,55,55,0,204,0,0,0,161,3,553,5,1311,63,2016,2016
SAN BERNARDINO,RIALTO,10/15/2013 - 10/15/2021,2015,Final,636,0,0,0,432,0,0,0,496,0,1151,8,2715,8,2015,2014
CONTRA COSTA,RICHMOND,01/31/2015 - 01/31/2023,2015,Final,438,0,0,0,305,79,79,0,410,0,1282,112,2435,191,2015,2015
SOLANO,RIO VISTA,01/31/2015 - 01/31/2023,2015,Final,45,0,0,0,36,0,0,0,48,67,170,80,299,147,2015,2015
STANISLAUS,RIVERBANK,12/31/2015 - 12/31/2023,2015,Final,321,0,0,0,206,0,0,0,217,0,536,52,1280,52,2016,2016
RIVERSIDE,RIVERSIDE COUNTY,10/15/2013 - 10/15/2021,2015,Final,7173,12,3,9,4871,8,8,0,5534,98,12725,914,30303,1032,2015,2014
PLACER,ROCKLIN,10/31/2013 - 10/31/2021,2015,Final,1040,0,0,0,729,0,0,0,709,385,1335,312,3813,697,2015,2014
SONOMA,ROHNERT PARK,01/31/2015 - 01/31/2023,2015,Final,181,0,0,0,107,0,0,0,127,0,484,244,899,244,2015,2015
LOS ANGELES,ROSEMEAD,10/15/2013 - 10/15/2021,2015,Final,153,0,0,0,88,0,0,0,99,0,262,0,602,0,2015,2014
PLACER,ROSEVILLE,10/31/2013 - 10/31/2021,2015,Final,2268,0,0,0,1590,0,0,0,1577,378,3043,544,8478,922,2015,2014
MARIN,ROSS,01/31/2015 - 01/31/2023,2015,Final,6,1,1,0,4,0,0,0,4,1,4,0,18,2,2015,2015
SACRAMENTO,SACRAMENTO,10/31/2013 - 10/31/2021,2015,Final,4944,0,0,0,3467,68,0,68,4482,851,11208,104,24101,1023,2015,2014
SACRAMENTO,SACRAMENTO COUNTY,10/31/2013 - 10/31/2021,2015,Final,3149,30,30,0,2208,117,117,0,2574,135,5913,264,13844,546,2015,2014
NAPA,SAINT HELENA,01/31/2015 - 01/31/2023,2015,Final,8,0,0,0,5,0,0,0,5,4,13,23,31,27,2015,2015
MONTEREY,SALINAS,12/31/2015 - 12/31/2023,2015,Final,537,0,0,0,351,0,0,0,407,0,934,53,2229,53,2016,2016
MARIN,SAN ANSELMO,01/31/2015 - 01/31/2023,2015,Final,33,2,0,2,17,0,0,0,19,2,37,1,106,5,2015,2015
SAN BENITO,SAN BENITO COUNTY,12/31/2015 - 12/31/2023,2015,Final,198,0,0,0,120,0,0,0,164,2,355,17,837,19,2016,2016
SAN BERNARDINO,SAN BERNARDINO COUNTY,10/15/2013 - 10/15/2021,2015,Final,9,16,0,16,6,236,0,236,7,86,17,126,39,464,2015,2014
SAN MATEO,SAN BRUNO,01/31/2015 - 01/31/2023,2015,Final,358,0,0,0,161,0,0,0,205,1,431,9,1155,10,2015,2015
VENTURA,SAN BUENAVENTURA,10/15/2013 - 10/15/2021,2015,Final,861,49,49,0,591,0,0,0,673,41,1529,55,3654,145,2015,2014
ORANGE,SAN CLEMENTE,10/15/2013 - 10/15/2021,2015,Final,134,0,0,0,95,0,0,0,108,1,244,129,581,130,2015,2014
SAN DIEGO,SAN DIEGO,04/30/2013 - 04/30/2021,2015,Final,21977,265,265,0,16703,446,446,0,15462,0,33954,4221,88096,4932,2015,2013
SAN DIEGO,SAN DIEGO COUNTY,04/30/2013 - 04/30/2021,2015,Final,2085,2,2,0,1585,24,24,0,5864,228,12878,613,22412,867,2015,2013
LOS ANGELES,SAN DIMAS,10/15/2013 - 10/15/2021,2015,Final,121,0,0,0,72,0,0,0,77,0,193,7,463,7,2015,2014
LOS ANGELES,SAN FERNANDO,10/15/2013 - 10/15/2021,2015,Final,55,0,0,0,32,5,0,5,35,0,95,0,217,5,2015,2014
SAN FRANCISCO,SAN FRANCISCO,01/31/2015 - 01/31/2023,2015,Final,6234,429,429,0,4639,179,179,0,5460,113,12536,2874,28869,3595,2015,2015
LOS ANGELES,SAN GABRIEL,10/15/2013 - 10/15/2021,2015,Final,236,1,0,1,142,0,0,0,154,54,398,63,930,118,2015,2014
SAN JOAQUIN,SAN JOAQUIN COUNTY,12/31/2015 - 12/31/2023,2015,Final,2496,10,0,10,1727,56,10,46,1724,90,4220,183,10167,339,2016,2016
SANTA CLARA,SAN JOSE,01/31/2015 - 01/31/2023,2015,Final,9233,70,70,0,5428,0,0,0,6188,0,14231,1951,35080,2021,2015,2015
ORANGE,SAN JUAN CAPISTRANO,10/15/2013 - 10/15/2021,2015,Final,147,0,0,0,104,0,0,0,120,0,267,96,638,96,2015,2014
ALAMEDA,SAN LEANDRO,01/31/2015 - 01/31/2023,2015,Final,504,82,82,0,270,31,31,0,352,0,1161,5,2287,118,2015,2015
SAN LUIS OBISPO,SAN LUIS OBISPO,06/30/2014 - 06/30/2019,2015,Final,285,1,1,0,179,1,1,0,201,2,478,168,1143,172,2015,2014
SAN LUIS OBISPO,SAN LUIS OBISPO CO.,06/30/2014 - 06/30/2019,2015,Final,336,7,2,5,211,10,3,7,237,27,563,282,1347,326,2015,2014
SAN DIEGO,SAN MARCOS,04/30/2013 - 04/30/2021,2015,Final,1043,51,51,0,793,54,54,0,734,1,1613,487,4183,593,2015,2013
LOS ANGELES,SAN MARINO,10/15/2013 - 10/15/2021,2015,Final,1,0,0,0,1,0,0,0,0,0,0,9,2,9,2015,2014
SAN MATEO,SAN MATEO,01/31/2015 - 01/31/2023,2015,Final,859,0,0,0,469,23,23,0,530,88,1242,480,3100,591,2015,2015
SAN MATEO,SAN MATEO COUNTY,01/31/2015 - 01/31/2023,2015,Final,153,0,0,0,103,1,0,1,102,6,555,53,913,60,2015,2015
CONTRA COSTA,SAN PABLO,01/31/2015 - 01/31/2023,2015,Final,56,0,0,0,53,0,0,0,75,1,265,29,449,30,2015,2015
MARIN,SAN RAFAEL,01/31/2015 - 01/31/2023,2015,Final,240,2,2,0,148,14,10,4,181,10,438,94,1007,120,2015,2015
CONTRA COSTA,SAN RAMON,01/31/2015 - 01/31/2023,2015,Final,516,0,0,0,279,0,0,0,282,2,340,386,1417,388,2015,2015
ORANGE,SANTA ANA,10/15/2013 - 10/15/2021,2015,Final,45,0,0,0,32,0,0,0,37,11,90,127,204,138,2015,2014
SANTA BARBARA,SANTA BARBARA,02/15/2015 - 02/15/2023,2015,Final,962,0,0,0,701,0,0,0,820,4,1617,290,4100,294,2015,2015
SANTA BARBARA,SANTA BARBARA COUNTY,02/15/2015 - 02/15/2023,2015,Final,159,49,49,0,106,41,36,5,112,44,284,94,661,228,2015,2015
SANTA CLARA,SANTA CLARA,01/31/2015 - 01/31/2023,2015,Final,1050,0,0,0,695,0,0,0,755,19,1593,212,4093,231,2015,2015
SANTA CLARA,SANTA CLARA COUNTY,01/31/2015 - 01/31/2023,2015,Final,22,5,5,0,13,0,0,0,214,0,28,60,277,65,2015,2015
LOS ANGELES,SANTA CLARITA,10/15/2013 - 10/15/2021,2015,Final,2645,0,0,0,1678,73,73,0,1532,11,5126,306,10981,390,2015,2014
SANTA CRUZ,SANTA CRUZ,12/31/2015 - 12/31/2023,2015,Final,180,5,5,0,118,7,7,0,136,39,313,94,747,145,2016,2016
SANTA CRUZ,SANTA CRUZ COUNTY,12/31/2015 - 12/31/2023,2015,Final,317,1,1,0,207,2,2,0,239,84,551,33,1314,120,2016,2016
LOS ANGELES,SANTA FE SPRINGS,10/15/2013 - 10/15/2021,2015,Final,82,0,0,0,50,0,0,0,53,0,139,51,324,51,2015,2014
SANTA BARBARA,SANTA MARIA,02/15/2015 - 02/15/2023,2015,Final,985,0,0,0,656,0,0,0,730,286,1731,150,4102,436,2015,2015
LOS ANGELES,SANTA MONICA,10/15/2013 - 10/15/2021,2015,Final,428,37,37,0,263,0,0,0,283,1,700,108,1674,146,2015,2014
SONOMA,SANTA ROSA,01/31/2015 - 01/31/2023,2015,Final,1041,0,0,0,671,24,24,0,759,8,2612,94,5083,126,2015,2015
SAN DIEGO,SANTEE,04/30/2013 - 04/30/2021,2015,Final,914,0,0,0,694,0,0,0,642,0,1410,5,3660,5,2015,2013
SANTA CLARA,SARATOGA,01/31/2015 - 01/31/2023,2015,Final,147,0,0,0,95,7,7,0,104,1,93,6,439,14,2015,2015
MARIN,SAUSALITO,01/31/2015 - 01/31/2023,2015,Final,26,2,0,2,14,3,0,3,16,0,23,0,79,5,2015,2015
SANTA CRUZ,SCOTTS VALLEY,12/31/2015 - 12/31/2023,2015,Final,34,0,0,0,22,0,0,0,26,0,58,5,140,5,2016,2016
MONTEREY,SEASIDE,12/31/2015 - 12/31/2023,2015,Final,95,0,0,0,62,0,0,0,72,1,164,0,393,1,2016,2016
SONOMA,SEBASTOPOL,01/31/2015 - 01/31/2023,2015,Final,22,0,0,0,17,1,1,0,19,2,62,9,120,12,2015,2015
FRESNO,SELMA,12/31/2015 - 12/31/2023,2015,Final,140,37,37,0,115,10,10,0,69,22,281,0,605,69,2016,2016
SHASTA,SHASTA LAKE,06/30/2014 - 06/30/2019,2015,Final,32,7,7,0,21,13,13,0,23,0,58,0,134,20,2015,2014
LOS ANGELES,SIERRA MADRE,10/15/2013 - 10/15/2021,2015,Final,14,0,0,0,9,0,0,0,9,0,23,42,55,42,2015,2014
LOS ANGELES,SIGNAL HILL,10/15/2013 - 10/15/2021,2015,Final,44,44,44,0,27,27,27,0,28,2,70,0,169,73,2015,2014
VENTURA,SIMI VALLEY,10/15/2013 - 10/15/2021,2015,Final,310,0,0,0,208,0,0,0,229,15,509,11,1256,26,2015,2014
SAN DIEGO,SOLANA BEACH,04/30/2013 - 04/30/2021,2015,Final,85,0,0,0,65,1,1,0,59,0,131,3,340,4,2015,2013
SOLANO,SOLANO COUNTY,01/31/2015 - 01/31/2023,2015,Final,26,0,0,0,15,11,0,11,19,7,43,14,103,32,2015,2015
MONTEREY,SOLEDAD,12/31/2015 - 12/31/2023,2015,Final,46,0,0,0,30,0,0,0,35,0,80,3,191,3,2016,2016
