Table Range A2: AV541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI (DR) UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,LOWER % Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL UNITS,TOTAL RHNA REMAIN,PRORATION FACTOR,ON PACE?,STATUS,Exempt but for 2019 APR,50% but for 2019 APR,On Pace (w/Mod)?,VLI ON PACE?,LI ON PACE?,VLI AND LI PACE?,ABOVE MOD ON PACE?
SANTA BARBARA,LOMPOC,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,126,0,0,0,126,0.00%,63,0,84,0,0,0,84,0,84,0.00%,0.00%,95,49,46,51.58%,221,10,211,4.52%,526,59,467,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,LONG BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1773,393,393,0,1380,22.17%,887,0,1066,170,170,0,896,170,896,15.95%,15.95%,1170,28,1142,2.39%,3039,2589,450,85.19%,7048,3180,3868,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
PLACER,LOOMIS,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,39,0,0,0,39,0.00%,20,0,27,0,0,0,27,0,27,0.00%,0.00%,29,2,27,6.90%,59,11,48,18.64%,154,13,141,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ORANGE,LOS ALAMITOS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,14,0,0,0,14,0.00%,7,0,10,0,0,0,10,0,10,0.00%,0.00%,11,0,11,0.00%,26,69,0,265.38%,61,69,0,0.5,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,LOS ALTOS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,169,2,2,0,167,1.18%,85,0,99,28,20,8,71,28,71,28.28%,28.28%,112,2,110,1.79%,97,535,0,551.55%,477,567,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,LOS ALTOS HILLS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,46,13,5,8,33,28.26%,23,0,28,5,2,3,23,5,23,17.86%,17.86%,32,4,28,12.50%,15,38,0,253.33%,121,60,61,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,LOS ANGELES,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,20427,5129,5129,0,15298,25.11%,10214,0,12435,2979,2979,0,9456,2979,9456,23.96%,23.96%,13728,502,13226,3.66%,35412,92389,0,260.90%,82002,100999,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,LOS ANGELES COUNTY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,7359,672,672,0,6687,9.13%,3680,0,4251,229,229,0,4022,229,4022,5.39%,5.39%,4898,19,4879,0.39%,10749,5237,5512,48.72%,27257,6157,21100,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MERCED,LOS BANOS,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,604,41,41,0,563,6.79%,302,0,431,22,21,1,409,22,409,5.10%,5.10%,396,13,383,3.28%,1049,667,382,63.58%,2480,743,1737,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,LOS GATOS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,201,0,0,0,201,0.00%,101,0,112,2,2,0,110,2,110,1.79%,1.79%,132,53,79,40.15%,174,79,95,45.40%,619,134,485,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SIERRA,LOYALTON,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,1,,1,,1,,1,,4,,4,1,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,LYNWOOD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,123,0,0,0,123,0.00%,62,0,72,0,0,0,72,0,72,0.00%,0.00%,81,0,81,0.00%,218,10,208,4.59%,494,10,484,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MADERA,MADERA,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,1352,127,17,110,1225,9.39%,676,0,1056,613,253,360,443,613,443,58.05%,58.05%,1091,208,883,19.07%,2600,219,2381,8.42%,6099,1167,4932,0.5,NO,Successful,NO,NO,NO,NO,YES,NO,NO
MADERA,MADERA COUNTY,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,1285,0,0,0,1285,0.00%,643,0,984,41,20,21,943,41,943,4.17%,4.17%,1015,0,1015,0.00%,2398,923,1475,38.49%,5682,964,4718,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,MALIBU,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,0,0,0,1,0,1,0.00%,0.00%,0,0,0,0.00%,0,84,0,0.00%,2,84,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MONO,MAMMOTH LAKES,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,17,0,0,0,17,0.00%,17,0,12,0,0,0,12,0,12,0.00%,0.00%,14,0,14,0.00%,31,150,0,483.87%,74,150,0,1,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,MANHATTAN BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,10,0,0,0,10,0.00%,5,0,6,0,0,0,6,0,6,0.00%,0.00%,7,0,7,0.00%,15,419,0,2793.33%,38,419,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN JOAQUIN,MANTECA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,925,4,0,4,921,0.43%,463,0,693,5,0,5,688,5,688,0.72%,0.72%,825,186,639,22.55%,1958,990,968,50.56%,4401,1185,3216,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
KERN,MARICOPA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,11,0,0,0,11,0.00%,6,0,5,0,0,0,5,0,5,0.00%,0.00%,6,0,6,0.00%,14,0,14,0.00%,36,0,36,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MARIN,MARIN COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,55,26,9,17,29,47.27%,28,0,32,27,7,20,5,27,5,84.38%,84.38%,37,28,9,75.68%,61,174,0,285.25%,185,255,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
MONTEREY,MARINA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,315,42,1,41,273,13.33%,158,0,206,6,1,5,200,6,200,2.91%,2.91%,239,147,92,61.51%,548,354,194,64.60%,1308,549,759,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MARIPOSA,MARIPOSA COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,265,0,0,0,265,0.00%,265,0,130,0,0,0,130,0,130,0.00%,0.00%,180,126,54,70.00%,420,180,240,42.86%,995,306,689,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
CONTRA COSTA,MARTINEZ,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,124,0,0,0,124,0.00%,62,0,72,0,0,0,72,0,72,0.00%,0.00%,78,1,77,1.28%,195,51,144,26.15%,469,52,417,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
YUBA,MARYSVILLE,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,12,0,0,0,12,0.00%,6,0,8,0,0,0,8,0,8,0.00%,0.00%,13,0,13,0.00%,39,5,34,12.82%,72,5,67,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,MAYWOOD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,13,0,0,0,13,0.00%,7,0,8,0,0,0,8,0,8,0.00%,0.00%,9,16,0,177.78%,23,5,18,21.74%,53,21,32,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
KERN,MCFARLAND,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,93,6,0,6,87,6.45%,47,0,73,6,0,6,67,6,67,8.22%,8.22%,66,32,34,48.48%,79,7,72,8.86%,311,51,260,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MENDOCINO,MENDOCINO COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,40,55,55,0,0,137.50%,40,15,27,30,30,0,0,45,0,111.11%,166.67%,27,138,0,511.11%,74,312,0,421.62%,168,535,0,1,YES,Successful,YES,NO,YES,YES,YES,YES,YES
FRESNO,MENDOTA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,80,0,0,0,80,0.00%,40,0,56,0,0,0,56,0,56,0.00%,0.00%,77,61,16,79.22%,341,5,336,1.47%,554,66,488,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,MENIFEE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1488,11,0,11,1477,0.74%,744,0,1007,17,0,17,990,17,990,1.69%,1.69%,1140,1263,0,110.79%,2610,2671,0,102.34%,6245,3962,2283,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN MATEO,MENLO PARK,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,233,148,126,22,85,63.52%,117,31,129,54,37,17,75,85,44,41.86%,65.89%,143,11,132,7.69%,150,947,0,631.33%,655,1160,0,0.5,YES,Successful,YES,NO,NO,YES,NO,NO,YES
MERCED,MERCED,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,1351,0,0,0,1351,0.00%,676,0,966,0,0,0,966,0,966,0.00%,0.00%,886,163,723,18.40%,2348,1335,1013,56.86%,5551,1498,4053,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MERCED,MERCED COUNTY,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,1085,0,0,0,1085,0.00%,543,0,775,36,0,36,739,36,739,4.65%,4.65%,711,92,619,12.94%,1885,508,1377,26.95%,4456,636,3820,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MARIN,MILL VALLEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,41,26,0,26,15,63.41%,21,5,24,25,2,23,0,30,0,104.17%,125.00%,26,17,9,65.38%,38,30,8,78.95%,129,98,31,0.5,YES,Successful,YES,NO,YES,YES,YES,YES,YES
SAN MATEO,MILLBRAE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,193,5,0,5,188,2.59%,97,0,101,5,0,5,96,5,96,4.95%,4.95%,112,4,108,3.57%,257,7,250,2.72%,663,21,642,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SANTA CLARA,MILPITAS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,1004,10,10,0,994,1.00%,502,0,570,0,0,0,570,0,570,0.00%,0.00%,565,0,565,0.00%,1151,3221,0,279.84%,3290,3231,59,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ORANGE,MISSION VIEJO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,42,13,13,0,29,30.95%,21,0,29,28,28,0,1,28,1,96.55%,96.55%,33,16,17,48.48%,73,810,0,1109.59%,177,867,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
STANISLAUS,MODESTO,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,1546,0,0,0,1546,0.00%,773,0,991,61,55,6,930,61,930,6.16%,6.16%,1100,276,824,25.09%,2724,584,2140,21.44%,6361,921,5440,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MODOC,MODOC COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,2,2,0,2,0,100.00%,2,0,2,8,0,8,0,8,0,400.00%,400.00%,1,32,0,3200.00%,5,5,0,100.00%,10,47,0,1,YES,Successful,YES,NO,YES,YES,YES,YES,YES
MONO,MONO COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,11,0,0,0,11,0.00%,11,0,7,29,0,29,0,29,0,414.29%,414.29%,9,62,0,688.89%,19,47,0,247.37%,46,138,0,1,NO,Successful,NO,YES,NO,NO,YES,NO,YES
LOS ANGELES,MONROVIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,101,0,0,0,101,0.00%,51,0,61,0,0,0,61,0,61,0.00%,0.00%,65,4,61,6.15%,162,554,0,341.98%,389,558,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SISKIYOU,MONTAGUE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,5,0,0,0,5,0.00%,5,0,3,0,0,0,3,0,3,0.00%,0.00%,3,0,3,0.00%,8,0,8,0.00%,19,0,19,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN BERNARDINO,MONTCLAIR,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,164,0,0,0,164,0.00%,82,0,114,0,0,0,114,0,114,0.00%,0.00%,125,0,125,0.00%,294,356,0,121.09%,697,356,341,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,MONTE SERENO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,23,43,5,38,0,186.96%,12,31,13,1,1,0,12,32,0,7.69%,246.15%,13,1,12,7.69%,12,30,0,250.00%,61,75,0,0.5,YES,Successful,YES,NO,NO,YES,NO,NO,YES
LOS ANGELES,MONTEBELLO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,269,0,0,0,269,0.00%,135,0,161,0,0,0,161,0,161,0.00%,0.00%,175,0,175,0.00%,461,0,461,0.00%,1066,0,1066,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MONTEREY,MONTEREY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,157,19,19,0,138,12.10%,79,0,102,0,0,0,102,0,102,0.00%,0.00%,119,2,117,1.68%,272,74,198,27.21%,650,95,555,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MONTEREY,MONTEREY COUNTY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,374,219,44,175,155,58.56%,187,32,244,13,13,0,231,45,199,5.33%,18.44%,282,35,247,12.41%,651,1210,0,185.87%,1551,1477,74,0.5,NO,Successful,NO,YES,NO,YES,NO,NO,YES
LOS ANGELES,MONTEREY PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,205,0,0,0,205,0.00%,103,0,123,0,0,0,123,0,123,0.00%,0.00%,137,0,137,0.00%,350,15,335,4.29%,815,15,800,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
VENTURA,MOORPARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,289,5,5,0,284,1.73%,145,0,197,24,18,6,173,24,173,12.18%,12.18%,216,10,206,4.63%,462,495,0,107.14%,1164,534,630,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,MORAGA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,75,0,0,0,75,0.00%,38,0,44,0,0,0,44,0,44,0.00%,0.00%,50,2,48,4.00%,60,113,0,188.33%,229,115,114,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
RIVERSIDE,MORENO VALLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1500,0,0,0,1500,0.00%,750,0,993,0,0,0,993,0,993,0.00%,0.00%,1112,457,655,41.10%,2564,1354,1210,52.81%,6169,1811,4358,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
SANTA CLARA,MORGAN HILL,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,273,41,41,0,232,15.02%,137,0,154,165,165,0,0,165,0,107.14%,107.14%,185,136,49,73.51%,316,1200,0,379.75%,928,1542,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SAN LUIS OBISPO,MORRO BAY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,39,0,0,0,39,0.00%,39,0,24,0,0,0,24,0,24,0.00%,0.00%,27,3,24,11.11%,65,63,2,96.92%,155,66,89,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SISKIYOU,MOUNT SHASTA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,11,0,0,0,11,0.00%,11,0,7,0,0,0,7,0,7,0.00%,0.00%,8,5,3,62.50%,19,10,9,52.63%,45,15,30,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SANTA CLARA,MOUNTAIN VIEW,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,814,202,202,0,612,24.82%,407,0,492,170,169,1,322,170,322,34.55%,34.55%,527,0,527,0.00%,1093,3223,0,294.88%,2926,3595,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
RIVERSIDE,MURRIETA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,395,0,0,0,395,0.00%,198,0,262,0,0,0,262,0,262,0.00%,0.00%,289,0,289,0.00%,627,1361,0,217.07%,1573,1361,212,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
NAPA,NAPA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,185,53,53,0,132,28.65%,93,0,106,49,38,11,57,49,57,46.23%,46.23%,141,45,96,31.91%,403,787,0,195.29%,835,934,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
NAPA,NAPA COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,51,4,0,4,47,7.84%,26,0,30,3,0,3,27,3,27,10.00%,10.00%,32,55,0,171.88%,67,95,0,141.79%,180,157,23,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN DIEGO,NATIONAL CITY,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,465,45,45,0,420,9.68%,233,0,353,116,116,0,237,116,237,32.86%,32.86%,327,163,164,49.85%,718,471,247,65.60%,1863,795,1068,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
SAN BERNARDINO,NEEDLES,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,38,0,0,0,38,0.00%,19,0,29,0,0,0,29,0,29,0.00%,0.00%,34,12,22,35.29%,80,14,66,17.50%,181,26,155,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
NEVADA,NEVADA CITY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,19,0,0,0,19,0.00%,19,0,14,4,0,4,10,4,10,28.57%,28.57%,16,9,7,56.25%,36,2,34,5.56%,85,15,70,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
NEVADA,NEVADA COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,174,53,7,46,121,30.46%,174,0,126,84,38,46,42,84,42,66.67%,66.67%,150,113,37,75.33%,314,269,45,85.67%,764,519,245,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ALAMEDA,NEWARK,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,330,0,0,0,330,0.00%,165,0,167,0,0,0,167,0,167,0.00%,0.00%,158,36,122,22.78%,423,793,0,187.47%,1078,829,249,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
STANISLAUS,NEWMAN,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,186,0,0,0,186,0.00%,93,0,119,0,0,0,119,0,119,0.00%,0.00%,136,2,134,1.47%,337,48,289,14.24%,778,50,728,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ORANGE,NEWPORT BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,94,91,3,0,9400.00%,1,93,1,1,0,1,0,94,0,100.00%,9400.00%,1,0,1,0.00%,2,1643,0,82150.00%,5,1738,0,0.5,YES,Successful,YES,NO,NO,YES,YES,YES,YES
RIVERSIDE,NORCO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,205,0,0,0,205,0.00%,103,0,136,0,0,0,136,0,136,0.00%,0.00%,151,0,151,0.00%,326,7,319,2.15%,818,7,811,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,NORWALK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,52,1,0,1,51,1.92%,26,0,31,5,0,5,26,5,26,16.13%,16.13%,33,34,0,103.03%,85,90,0,105.88%,201,130,71,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MARIN,NOVATO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,111,41,26,15,70,36.94%,56,0,65,23,19,4,42,23,42,35.38%,35.38%,72,46,26,63.89%,167,156,11,93.41%,415,266,149,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
STANISLAUS,OAKDALE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,315,14,0,14,301,4.44%,158,0,202,44,0,44,158,44,158,21.78%,21.78%,210,84,126,40.00%,520,287,233,55.19%,1247,429,818,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,OAKLAND,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,2059,662,662,0,1397,32.15%,1030,0,2075,213,213,0,1862,213,1862,10.27%,10.27%,2815,70,2745,2.49%,7816,13135,0,168.05%,14765,14080,685,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,OAKLEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,317,8,8,0,309,2.52%,159,0,174,66,66,0,108,66,108,37.93%,37.93%,175,209,0,119.43%,502,943,0,187.85%,1168,1226,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN DIEGO,OCEANSIDE,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,1549,310,287,23,1239,20.01%,775,0,1178,187,172,15,991,187,991,15.87%,15.87%,1090,196,894,17.98%,2393,1080,1313,45.13%,6210,1773,4437,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
VENTURA,OJAI,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,87,0,0,0,87,0.00%,44,0,59,0,0,0,59,0,59,0.00%,0.00%,70,51,19,72.86%,155,12,143,7.74%,371,63,308,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN BERNARDINO,ONTARIO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,2592,108,108,0,2484,4.17%,1296,0,1745,66,66,0,1679,66,1679,3.78%,3.78%,1977,1434,543,72.53%,4547,4625,0,101.72%,10861,6233,4628,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ORANGE,ORANGE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,83,9,9,0,74,10.84%,42,0,59,72,72,0,0,72,0,122.03%,122.03%,66,1280,0,1939.39%,155,549,0,354.19%,363,1910,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
ORANGE,ORANGE COUNTY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1240,81,81,0,1159,6.53%,620,0,879,151,151,0,728,151,728,17.18%,17.18%,979,180,799,18.39%,2174,4153,0,191.03%,5272,4565,707,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
FRESNO,ORANGE COVE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,111,0,0,0,111,0.00%,56,0,86,3,0,3,83,3,83,3.49%,3.49%,105,1,104,0.95%,367,0,367,0.00%,669,4,665,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
CONTRA COSTA,ORINDA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,84,0,0,0,84,0.00%,42,0,47,0,0,0,47,0,47,0.00%,0.00%,54,34,20,62.96%,42,259,0,616.67%,227,293,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
GLENN,ORLAND,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,20,0,0,0,20,0.00%,20,0,10,75,72,3,0,75,0,750.00%,750.00%,14,57,0,407.14%,36,0,36,0.00%,80,132,0,1,NO,Successful,NO,NO,NO,NO,YES,NO,NO
BUTTE,OROVILLE,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,419,10,0,10,409,2.39%,210,0,284,68,51,17,216,68,216,23.94%,23.94%,306,0,306,0.00%,784,94,690,11.99%,1793,172,1621,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
VENTURA,OXNARD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1688,179,179,0,1509,10.60%,844,0,1160,738,648,90,422,738,422,63.62%,63.62%,1351,375,976,27.76%,3102,545,2557,17.57%,7301,1837,5464,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
