"","Jurisdiction","County","COG","cyc5_projection_start","cyc5_projection_end","cyc5_planning_start","cyc5_planning_end","cyc5_current_compliance","cyc5_conditional_compliance","cyc5_cc_due","cyc5_cc_cleared","cyc5_planning_period_duration","req_4year_update","emergency_shelter_zone","cyc4_rezone_program","cyc4_unit_shortfall","cyc4_rezone_acres","cyc4_rezone_complete","cyc5_rezone_program","cyc5_unit_shortfall","cyc5_rezone_acres","cyc5_rezone_complete","charter_city","apr2013","apr2014","apr2015","apr2016","apr2017","apr2018","compliance"
"105","COVINA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","Yes",0
"106","CRESCENT CITY","Del Norte County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"107","CUDAHY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",154,NA,"Yes","Yes",126,NA,"Yes",NA,"No","Yes","No","Yes","No","No",1
"108","CULVER CITY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"109","CUPERTINO","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"110","CYPRESS","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes",1
"111","DALY CITY","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"112","DANA POINT","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"113","DANVILLE","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"114","DAVIS","Yolo County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"115","DEL MAR","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"No (Program)","No",10,NA,"No","Yes",12,NA,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"116","DEL NORTE COUNTY","Del Norte County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"117","DEL REY OAKS","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","Yes",0
"118","DELANO","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in","Yes",2016-12-31,2018-09-13,"8 Year",NA,"Yes","Yes",528,NA,"Yes","No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"119","DESERT HOT SPRINGS","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (draft)",NA,NA,NA,"8 year","Yes","Yes","Yes",3080,NA,"No","Yes",946,NA,"No","Yes","No","No","No","No","Yes","Yes",0
"120","DIAMOND BAR","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"121","DINUBA","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"122","DIXON","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in","Yes",2016-01-31,2016-06-29,"8 Year",NA,"Yes","Yes",16,10.7,"Yes","No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"123","DORRIS","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","No","Yes","Yes",1
"124","DOS PALOS","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","No",0
"125","DOWNEY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes",1
"126","DUARTE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"127","DUBLIN","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"128","DUNSMUIR","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"129","EAST PALO ALTO","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes",1
"130","EASTVALE","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"131","EL CAJON","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",1363,NA,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"132","EL CENTRO","Imperial County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"133","EL CERRITO","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"134","EL DORADO COUNTY","El Dorado County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"135","EL MONTE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"136","EL SEGUNDO","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"137","ELK GROVE","Sacramento County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",1273,75,"No",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"138","EMERYVILLE","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"139","ENCINITAS","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"out (adopted)",NA,NA,NA,"8 year","Yes","Yes","Yes",253,NA,"Yes","Yes",888,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",0
"140","ESCALON","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"141","ESCONDIDO","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"142","ETNA","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"143","EUREKA","Humboldt County","Humboldt County Association of Governments",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"144","EXETER","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"145","FAIRFAX","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in","Yes",2016-01-31,NA,"8 Year",NA,"Yes","Yes",35,3.24,"Yes","No",27,NA,"8-units remaining",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"146","FAIRFIELD","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"147","FARMERSVILLE","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"148","FERNDALE","Humboldt County","Humboldt County Association of Governments",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","No","No",1
"149","FILLMORE","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",61,NA,"No",NA,"No","No","No","No","No","No",0
"150","FIREBAUGH","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"151","FOLSOM","Sacramento County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"152","FONTANA","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",1866,NA,"Yes","Yes",2416,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"153","FORT BRAGG","Mendocino County","Mendocino Council of Governments ",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","No","No","Yes",1
"154","FORT JONES","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"out (due)",NA,NA,NA,"5 Year",NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","No",0
"155","FORTUNA","Humboldt County","Humboldt County Association of Governments",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"156","FOSTER CITY","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"157","FOUNTAIN VALLEY","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",162,6.49,"Yes",NA,"No","Yes","Yes","Yes","Yes","Yes",1
"158","FOWLER","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"159","FREMONT","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"160","FRESNO","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",6228,NA,"Yes","No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"161","FRESNO COUNTY","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes",1
"162","FULLERTON","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"163","GALT","Sacramento County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"164","GARDEN GROVE","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"165","GARDENA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"166","GILROY","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes",1
"167","GLENDALE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"168","GLENDORA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"169","GLENN COUNTY","Glenn County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in","Yes",2015-06-30,2018-09-17,"5 Year",NA,"Yes","Yes",168,10.5,"yes","Yes",32,2,"No",NA,"No","Yes","Yes","Yes","Yes","No",1
"170","GOLETA","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"171","GONZALES","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"172","GRAND TERRACE","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"173","GRASS VALLEY","Nevada County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"174","GREENFIELD","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"175","GRIDLEY","Butte County","Butte County Association of Governments",2014-01-01,2022-06-15,2014-06-15,2022-06-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"176","GROVER BEACH","San Luis Obispo County","SLOCOG",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"177","GUADALUPE","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"178","GUSTINE","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"out",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"Yes",33,NA,"No",NA,"No","No","No","No","No","No",0
"179","HALF MOON BAY","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"180","HANFORD","Kings County","Kings County Association of Governments",2014-01-01,2023-12-31,2016-01-31,2024-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"181","HAWAIIAN GARDENS","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"182","HAWTHORNE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"183","HAYWARD","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"184","HEALDSBURG","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"185","HEMET","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"186","HERCULES","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"187","HERMOSA BEACH","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"188","HESPERIA","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"189","HIDDEN HILLS","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"190","HIGHLAND","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"191","HILLSBOROUGH","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"192","HOLLISTER","San Benito County","San Benito County Council of Governments",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"193","HOLTVILLE","Imperial County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (draft)",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","No",0
"194","HUGHSON","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"195","HUMBOLDT COUNTY","Humboldt County","Humboldt County Association of Governments",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"196","HUNTINGTON BEACH","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 Year",NA,"Yes","TBD",NA,NA,NA,"TBD",NA,NA,NA,"Yes","No","No","No","No","No","No",0
"197","HUNTINGTON PARK","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"Yes","No","No","No","No","No",0
"198","HURON","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"199","IMPERIAL","Imperial County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (draft)",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",0
"200","IMPERIAL BEACH","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"201","IMPERIAL COUNTY","Imperial County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"202","INDIAN WELLS","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"203","INDIO","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"204","INDUSTRY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in","Yes",2015-02-11,2018-09-04,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",2,NA,"No","Yes","No","No","No","No","Yes","Yes",1
"205","INGLEWOOD","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"206","INYO COUNTY","Inyo County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"207","IONE","Amador County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","Yes","Yes","Yes",1
"208","IRVINE","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"209","IRWINDALE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"210","ISLETON","Sacramento County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
